,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
71,"Here, There and Everywhere",Revolver,LennonMcCartney,McCartney,1966,[57]
72,Hey Bulldog,Yellow Submarine,LennonMcCartney,Lennon,1969,[53]
73,Hey Jude,Past Masters,LennonMcCartney,McCartney,1968,[50][71]
74,Hold Me Tight,With the Beatles,LennonMcCartney,McCartney,1963,[52]
75,Honey Don't,Beatles for Sale,Carl Perkins,Starr,1964,[59]
76,Honey Pie,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
77,I Am the Walrus,Magical Mystery Tour,LennonMcCartney,Lennon,1967,[55]
78,I Call Your Name,Past Masters,LennonMcCartney,Lennon,1964,[50]
79,I Don't Want to Spoil the Party,Beatles for Sale,LennonMcCartney,Lennon(with McCartney),1964,[59]
80,I Feel Fine,Past Masters,LennonMcCartney,Lennon,1964,[50][73]
81,I Me Mine,Let It Be,Harrison,Harrison,1970,[49]
82,I Need You,Help!,Harrison,Harrison,1965,[51]
83,I Saw Her Standing There,Please Please Me,LennonMcCartney,McCartney,1963,[58]
84,I Should Have Known Better,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
85,I Wanna Be Your Man,With the Beatles,LennonMcCartney,Starr,1963,[52]
86,I Want to Hold Your Hand,Past Masters,LennonMcCartney,LennonMcCartney,1963,[50][74]
87,I Want to Tell You,Revolver,Harrison,Harrison,1966,[57]
88,I Want You (She's So Heavy),Abbey Road,LennonMcCartney,Lennon,1969,[62]
89,I Will,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
90,If I Fell,A Hard Day's Night,LennonMcCartney,LennonMcCartney,1964,[56]
91,If I Needed Someone,Rubber Soul,Harrison,Harrison,1965,[67]
92,I'll Be Back,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964,[56]
93,I'll Cry Instead,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
94,I'll Follow the Sun,Beatles for Sale,LennonMcCartney,McCartney,1964,[59]
